Reference,omega_v,AXp_v,AXn_v,AYp_v,AYn_v,B_v,omega_c,AXp_c,AXn_c,AYp_c,AYn_c,B_c
MICROSOFT,0.000815228360774265,0.16699565560969304,0.16356057692445344,0.23917105693243149,0.0034517519725559584,0.8529946575315195,0.0033606347686682262,0.00126468033212452,0.22377964515363027,0.8404950692114408,0.3696339492294478,0.7242233814208713
ASML,0.0002971894738709774,0.18189930174485802,0.07976803127238857,1.1345515938105423e-06,0.01751527762905946,0.9288783938454084,0.0022123407612205655,0.0246746653628079,0.025665590492769987,0.6454430845644561,0.05952501446775955,0.8415355319551987
CITIGROUP,4.872016826077603e-07,0.24898176561513366,0.11332995695372736,0.1722657656598124,0.0068569974098038325,0.8938783863960114,0.0017258972975997301,0.24538680762136503,0.013107573536578552,0.14402510247879105,0.07648918291206283,0.8738083515514908
GENERALDYNAMICS,0.0008906498994488912,0.1859142547292732,0.09240120443673444,0.22386619196679206,0.04800573306419902,0.8478786758766931,0.0025814773403272603,0.3650102326115708,0.03408153552839699,0.37403376387434567,0.028912651590184812,0.8177084325114086
JPM,0.0005761976121734855,0.2032378815716214,0.12514375135565473,0.20285749704633593,0.013384824903924786,0.8730416420565899,0.004085453375136152,0.4159899653857273,0.010694110496492305,0.2809071291741179,0.08280257112023168,0.7763757040584718
NVIDIA,0.00228218557945596,0.21828728938702127,0.13936557309365424,0.2672482978573971,0.13261196291602861,0.8316806599880426,0.002986187019194868,0.04362193007975948,0.0759542928200791,0.873202607964353,0.31286586064089156,0.7325514052066311
PEPSICO,0.0008833446780081275,0.21336690579941534,0.18249544927277153,0.2050324052877733,0.1143441080465483,0.781905283662885,0.001856535983461914,0.021170604519024243,0.003882939130848196,0.34506752899049475,0.08508958081514316,0.8893719711133709
QQQ,0.0006030119557040842,0.2450061977720802,0.07735794655302282,0.02139530677667974,1.1326625286173337e-06,0.8996894748552093,0.0036630131910700605,3.572833786100139e-32,1.559428780724022e-33,0.7691616763538355,0.37130136399884983,0.7758795351506542
DIAGEO,0.0008966427374010958,0.1309067880150468,0.1073297940276287,0.15988672990380956,0.08829922135996376,0.8532811574578159,0.0022091566823855963,0.009691591790814521,0.1932609806998944,0.6539872744102185,0.07550547278857893,0.8232771712228245
