Reference,Spec,n,VaR_distress,CoVaR_cond_viol,Avg_S_VaR,Avg_S_CoVaR
MICROSOFT,AS-signs,5789,0.05026774917947832,0.15463917525773196,0.001796643484928726,0.00010073629630866983
ASML,AS-signs,5789,0.052513387458973916,0.10526315789473684,0.002686674766131538,0.00010326741648419536
CITIGROUP,AS-signs,5789,0.0509587148039385,0.13559322033898305,0.0025169233232916295,0.0001107126751412949
GENERALDYNAMICS,AS-signs,5789,0.051822421834513736,0.14666666666666667,0.0015993506845268166,0.00012588520719609915
JPM,SAV-full,5789,0.05113145621005355,0.12837837837837837,0.002071825434641946,9.605516003888797e-05
NVIDIA,AS-signs,5789,0.05078597339782346,0.08503401360544217,0.0034070060626369605,0.00010298623811902467
PEPSICO,SAV-fullA,5789,0.05873207807911556,0.09411764705882353,0.0012279330107091736,0.00012471801022399784
QQQ,AS-signs,5789,0.04698566246329245,0.15073529411764705,0.0014988928003603719,9.549862964636766e-05
DIAGEO,AS-pos,5789,0.053377094489549144,0.09385113268608414,0.0014435287239969797,0.00010535566873597702
