stock;n;mean (%);std (%);min (%);max (%);skew;ex_kurt;JB p;LB20(r) p;LB20(r2) p
MICROSOFT;6289;0.0572;1.9019;-15.5978;19.5652;0.1674;9.5364;0.0000;0.0000;0.0000
ASML;6289;0.0887;2.8545;-20.8063;22.1212;0.1326;5.5190;0.0000;0.0000;0.0000
CITIGROUP;6289;0.0241;2.9315;-39.0244;57.8249;1.3740;48.9678;0.0000;0.0000;0.0000
GENERALDYNAMICS;6289;0.0570;1.5637;-12.3767;11.7276;-0.0864;5.1263;0.0000;0.0024;0.0000
JPM;6289;0.0634;2.3546;-20.7274;25.0967;0.8059;15.7368;0.0000;0.0000;0.0000
NVIDIA;6289;0.1859;3.7414;-35.2335;42.4145;0.5845;12.0698;0.0000;0.0001;0.0000
PEPSICO;6289;0.0410;1.2533;-11.9314;14.8686;0.1687;14.7826;0.0000;0.0000;0.0000
QQQ;6289;0.0444;1.6995;-11.9788;16.8421;0.2112;7.2903;0.0000;0.0000;0.0000
SPY;6289;0.0366;1.2203;-10.9424;14.5198;-0.0101;11.5832;0.0000;0.0000;0.0000
DIAGEO;6289;0.0443;1.4241;-11.7217;11.7296;0.1646;7.3744;0.0000;0.0000;0.0000
